rownames,chromosome,start,end,bases,gc,mappability,blacklist,residual,use
1:11500001-12000000,1,11500001.0,12000000.0,100.0,51.987399999999994,87.3436,0.0,0.03233490773205239,True
1:12000001-12500000,1,12000001.0,12500000.0,100.0,47.6294,85.4978,0.0,0.03925608358855748,True
1:12500001-13000000,1,12500001.0,13000000.0,100.0,46.206199999999995,70.1769,0.0,0.028790416418607134,False
1:13000001-13500000,1,13000001.0,13500000.0,70.0,46.04542857142857,26.5092,0.0,,False
1:13500001-14000000,1,13500001.0,14000000.0,90.0,46.614,54.0746,0.0,,False
1:14000001-14500000,1,14000001.0,14500000.0,100.0,43.14,90.52900000000001,0.0,-0.013828446057019994,True
1:14500001-15000000,1,14500001.0,15000000.0,100.0,43.1124,90.1169,0.0,0.016956981913551217,True
1:15000001-15500000,1,15000001.0,15500000.0,100.0,49.4934,90.2983,0.0,0.019294172463057202,True
1:15500001-16000000,1,15500001.0,16000000.0,100.0,47.2726,84.538,0.0,-0.011240862027800003,True
1:16000001-16500000,1,16000001.0,16500000.0,100.0,51.30820000000001,81.6292,0.005399999999999999,-0.046664197750596104,False
1:16500001-17000000,1,16500001.0,17000000.0,100.0,47.931200000000004,64.8959,0.2946,,False
1:17000001-17500000,1,17000001.0,17500000.0,90.0,49.94244444444445,68.70230000000001,0.0,0.0044787687372216944,False
1:17500001-18000000,1,17500001.0,18000000.0,100.0,51.3392,85.7758,0.0692,-0.0072688906561246824,False
1:18000001-18500000,1,18000001.0,18500000.0,100.0,49.4528,93.9687,0.0,0.001901743477361162,True
1:18500001-19000000,1,18500001.0,19000000.0,100.0,48.869800000000005,94.1083,0.0,-0.000489989029086646,True
1:19000001-19500000,1,19000001.0,19500000.0,100.0,49.686,93.5552,0.0,0.011068720064488224,True
1:19500001-20000000,1,19500001.0,20000000.0,100.0,47.7782,85.6707,0.0,-0.012873801954637665,True
1:20000001-20500000,1,20000001.0,20500000.0,100.0,46.2494,84.64120000000001,0.0,0.0030869962342434665,True
1:20500001-21000000,1,20500001.0,21000000.0,100.0,48.5118,90.1741,0.0,0.021572784375341048,True
1:21000001-21500000,1,21000001.0,21500000.0,100.0,41.547,85.3637,0.0,-0.030003282183518054,True
1:21500001-22000000,1,21500001.0,22000000.0,100.0,50.559799999999996,79.6608,0.0,-0.005191022770102749,True
1:22000001-22500000,1,22000001.0,22500000.0,100.0,48.992000000000004,81.0789,0.0,-0.02899920845174897,True
1:22500001-23000000,1,22500001.0,23000000.0,100.0,49.3016,93.0279,0.0136,-0.0055454906390658976,False
1:23000001-23500000,1,23000001.0,23500000.0,100.0,47.373,88.8801,0.0,-0.009386294364069458,True
1:23500001-24000000,1,23500001.0,24000000.0,100.0,47.2092,82.82730000000001,0.0,0.02542647720148139,True
1:24000001-24500000,1,24000001.0,24500000.0,100.0,47.3276,79.5025,0.0,,False
1:24500001-25000000,1,24500001.0,25000000.0,100.0,45.6138,87.2111,0.0,0.019499037305499622,True
1:25000001-25500000,1,25000001.0,25500000.0,100.0,48.2684,87.2175,0.0226,0.001210228650576184,False
1:25500001-26000000,1,25500001.0,26000000.0,100.0,46.5824,74.7167,0.0,-0.07421507056272819,False
1:26000001-26500000,1,26000001.0,26500000.0,100.0,48.7938,87.0526,0.0,0.02810536015014964,True
1:26500001-27000000,1,26500001.0,27000000.0,100.0,48.615,79.48429999999999,0.0,0.027168299473851243,True
1:27000001-27500000,1,27000001.0,27500000.0,100.0,49.2838,80.6777,0.0,0.0379866770921109,True
1:27500001-28000000,1,27500001.0,28000000.0,100.0,49.833800000000004,82.4786,0.0,0.018311963481534632,True
1:28000001-28500000,1,28000001.0,28500000.0,100.0,44.413599999999995,79.78020000000001,0.0142,0.015154272306029504,False
1:28500001-29000000,1,28500001.0,29000000.0,100.0,46.0588,73.0575,0.0,-0.0042022963712127215,False
1:29000001-29500000,1,29000001.0,29500000.0,100.0,44.9012,79.2383,0.0,-0.004279744272754682,True
1:29500001-30000000,1,29500001.0,30000000.0,75.6164,49.07718431451379,89.889,0.0,0.011749873570139013,True
1:30000001-30500000,1,30000001.0,30500000.0,94.3836,47.37072966066139,93.5908,0.0,-0.02542923828336885,True
1:30500001-31000000,1,30500001.0,31000000.0,100.0,48.1586,89.9008,0.015799999999999998,0.017297253344389807,False
1:31000001-31500000,1,31000001.0,31500000.0,100.0,47.9274,91.7,0.029799999999999997,0.004161643619659761,False
1:31500001-32000000,1,31500001.0,32000000.0,100.0,46.007,79.7834,0.0,-0.0038399375572440997,True
1:32000001-32500000,1,32000001.0,32500000.0,100.0,48.8656,87.4077,0.0,0.009797151187858621,True
1:32500001-33000000,1,32500001.0,33000000.0,100.0,47.5456,78.3746,0.016,0.04061756607903966,False
1:33000001-33500000,1,33000001.0,33500000.0,100.0,46.9764,79.5591,0.0,-0.007704634917590658,True
1:33500001-34000000,1,33500001.0,34000000.0,100.0,46.556799999999996,88.794,0.0,0.008155936045876389,True
1:34000001-34500000,1,34000001.0,34500000.0,100.0,45.2504,93.4705,0.0,0.04250116423207395,True
1:34500001-35000000,1,34500001.0,35000000.0,100.0,43.952400000000004,92.6736,0.0,0.0020952392789971297,True
1:35000001-35500000,1,35000001.0,35500000.0,100.0,45.2928,89.49669999999999,0.0,0.0031971870389614354,True
1:35500001-36000000,1,35500001.0,36000000.0,100.0,41.3266,79.4779,0.0,0.003564672819737713,True
1:36000001-36500000,1,36000001.0,36500000.0,100.0,43.4636,84.85390000000001,0.0,-0.019482711747366266,True
1:36500001-37000000,1,36500001.0,37000000.0,100.0,48.6274,82.65,0.0,0.01261627037941615,True
1:37000001-37500000,1,37000001.0,37500000.0,100.0,48.945,95.3475,0.0126,0.045046980133794934,False
1:37500001-38000000,1,37500001.0,38000000.0,100.0,47.098,89.4877,0.0,0.024956728914060644,True
1:38000001-38500000,1,38000001.0,38500000.0,100.0,47.5414,83.3176,0.015200000000000002,0.03952481821626619,False
1:38500001-39000000,1,38500001.0,39000000.0,100.0,45.753,92.1941,0.0,0.030462179535408973,True
1:39000001-39500000,1,39000001.0,39500000.0,100.0,44.863,84.0755,0.009600000000000001,0.025724932721064797,False
1:39500001-40000000,1,39500001.0,40000000.0,100.0,43.9456,82.9691,0.0,0.0025691331700472553,True
1:40000001-40500000,1,40000001.0,40500000.0,100.0,47.477399999999996,82.2737,0.0,0.011976450269476469,True
1:40500001-41000000,1,40500001.0,41000000.0,100.0,42.4226,83.175,0.0,0.013364012654316193,True
1:41000001-41500000,1,41000001.0,41500000.0,100.0,46.9254,87.0318,0.0,0.008603090952820303,True
1:41500001-42000000,1,41500001.0,42000000.0,100.0,45.9646,90.1336,0.0,-0.004826655564351745,True
1:42000001-42500000,1,42000001.0,42500000.0,100.0,45.8744,92.8663,0.0,0.045363122425114866,True
1:42500001-43000000,1,42500001.0,43000000.0,100.0,41.0184,87.9961,0.0346,0.006773519271537243,False
1:43000001-43500000,1,43000001.0,43500000.0,100.0,44.4082,85.19250000000001,0.11620000000000001,-0.018765755384276495,False
1:43500001-44000000,1,43500001.0,44000000.0,100.0,46.556,86.2818,0.0,0.024247094447092943,True
1:44000001-44500000,1,44000001.0,44500000.0,100.0,48.9678,90.4592,0.0,0.022898936454440078,True
1:44500001-45000000,1,44500001.0,45000000.0,100.0,44.8976,89.7069,0.0,0.006098648484630376,True
1:45000001-45500000,1,45000001.0,45500000.0,100.0,47.63,83.1677,0.0,0.02739411756775434,True
1:45500001-46000000,1,45500001.0,46000000.0,100.0,42.6884,77.0184,0.0,0.015037837685161315,True
1:46000001-46500000,1,46000001.0,46500000.0,100.0,42.514,80.5358,0.0,-0.00046602593968458894,True
1:46500001-47000000,1,46500001.0,47000000.0,100.0,47.759800000000006,83.2534,0.0196,0.032583561497991353,False
1:47000001-47500000,1,47000001.0,47500000.0,100.0,43.2612,75.59740000000001,0.0,0.015300321923721882,True
1:47500001-48000000,1,47500001.0,48000000.0,100.0,44.435,79.1001,0.0,-0.04336272228345117,True
1:48000001-48500000,1,48000001.0,48500000.0,100.0,47.836,95.09309999999999,0.0,0.02162974927908956,True
1:48500001-49000000,1,48500001.0,49000000.0,100.0,40.629,82.3921,0.0,-0.0010572663466362764,True
1:49000001-49500000,1,49000001.0,49500000.0,100.0,42.157,94.94890000000001,0.0,0.018300182538929732,True
1:49500001-50000000,1,49500001.0,50000000.0,100.0,37.8352,86.5836,0.0,-0.0006533370785271053,True
1:50000001-50500000,1,50000001.0,50500000.0,100.0,37.1538,80.11779999999999,0.0,0.01976352508506074,True
1:50500001-51000000,1,50500001.0,51000000.0,100.0,41.8322,91.80930000000001,0.0,0.010933425843631883,True
1:51000001-51500000,1,51000001.0,51500000.0,100.0,38.2956,83.3238,0.0,0.023037033192389256,True
1:51500001-52000000,1,51500001.0,52000000.0,100.0,41.2344,83.8754,0.0,-0.011938561027437178,True
1:52000001-52500000,1,52000001.0,52500000.0,100.0,41.3904,86.907,0.0,0.01529265439135119,True
1:52500001-53000000,1,52500001.0,53000000.0,100.0,41.308,81.97879999999999,0.0,-0.002056125713307544,True
1:53000001-53500000,1,53000001.0,53500000.0,100.0,43.1396,80.1118,0.0,-0.01691251172541658,True
1:53500001-54000000,1,53500001.0,54000000.0,100.0,49.2008,92.57069999999999,0.0,-0.010543629746508965,True
1:54000001-54500000,1,54000001.0,54500000.0,100.0,45.9268,89.34299999999999,0.0,0.002426162955868394,True
1:54500001-55000000,1,54500001.0,55000000.0,100.0,48.7852,87.4427,0.0,0.026739425794639504,True
1:55000001-55500000,1,55000001.0,55500000.0,100.0,48.352000000000004,84.10220000000001,0.0,0.0015076375069846826,True
1:55500001-56000000,1,55500001.0,56000000.0,100.0,41.857,90.7237,0.0,0.007797864003825428,True
1:56000001-56500000,1,56000001.0,56500000.0,100.0,39.9154,91.37039999999999,0.0,0.0024067210865000854,True
1:56500001-57000000,1,56500001.0,57000000.0,100.0,40.812,91.3864,0.0,0.002366835883417573,True
1:57000001-57500000,1,57000001.0,57500000.0,100.0,40.287800000000004,92.8262,0.0,-0.014067369238808192,True
1:57500001-58000000,1,57500001.0,58000000.0,100.0,40.5918,94.7877,0.0,-0.013313362171521015,True
1:58000001-58500000,1,58000001.0,58500000.0,100.0,40.45,92.40559999999999,0.0126,0.007826275551678474,False
1:58500001-59000000,1,58500001.0,59000000.0,100.0,41.3974,88.4536,0.0,0.04879252996535499,True
1:59000001-59500000,1,59000001.0,59500000.0,100.0,42.2352,91.3779,0.0,0.02764356335759044,True
1:59500001-60000000,1,59500001.0,60000000.0,100.0,40.7466,90.5648,0.0,0.030433859719033562,True
1:60000001-60500000,1,60000001.0,60500000.0,100.0,39.498,88.4686,0.0,0.0538556544773674,True
1:60500001-61000000,1,60500001.0,61000000.0,100.0,37.483,89.48509999999999,0.0,0.04549793293111848,True
1:61000001-61500000,1,61000001.0,61500000.0,100.0,39.952799999999996,90.1477,0.0,-0.00040441189276041456,True
1:61500001-62000000,1,61500001.0,62000000.0,100.0,39.5642,94.16029999999999,0.0,-0.012662889720931825,True
1:62000001-62500000,1,62000001.0,62500000.0,100.0,40.2272,83.91290000000001,0.0,-0.027714082662970707,True
1:62500001-63000000,1,62500001.0,63000000.0,100.0,43.0326,84.14789999999999,0.0,-0.02558002480938376,True
1:63000001-63500000,1,63000001.0,63500000.0,100.0,38.5316,86.9743,0.0,-0.00641879609817303,True
1:63500001-64000000,1,63500001.0,64000000.0,100.0,39.2878,87.9913,0.0,-0.030617112194889162,True
1:64000001-64500000,1,64000001.0,64500000.0,100.0,41.2872,92.919,0.0,-0.011078803707956442,True
1:64500001-65000000,1,64500001.0,65000000.0,100.0,40.8236,88.8729,0.0,-0.011606513671031549,True
1:65000001-65500000,1,65000001.0,65500000.0,100.0,40.550000000000004,91.4417,0.0,0.000703947879943323,True
1:65500001-66000000,1,65500001.0,66000000.0,100.0,40.9854,87.7167,0.0048000000000000004,-0.0251714623627744,False
1:66000001-66500000,1,66000001.0,66500000.0,100.0,37.1378,84.8232,0.0,0.04220087831577457,True
1:66500001-67000000,1,66500001.0,67000000.0,100.0,38.3796,88.9147,0.0,,False
1:67000001-67500000,1,67000001.0,67500000.0,100.0,37.2432,91.5557,0.0,0.04752169196202072,True
1:67500001-68000000,1,67500001.0,68000000.0,100.0,40.677400000000006,83.2483,0.0,0.020378181251430205,True
1:68000001-68500000,1,68000001.0,68500000.0,100.0,41.2032,91.70190000000001,0.14220000000000002,0.011708959083093884,False
1:68500001-69000000,1,68500001.0,69000000.0,100.0,39.6932,89.4611,0.0,-0.019775095229975448,True
1:69000001-69500000,1,69000001.0,69500000.0,100.0,37.3348,86.787,0.0,-0.0025015871403744616,True
1:69500001-70000000,1,69500001.0,70000000.0,100.0,36.9204,88.0027,0.0,-0.017306183230819838,True
1:70000001-70500000,1,70000001.0,70500000.0,100.0,35.3898,89.27340000000001,0.0,0.048839685421556145,True
1:70500001-71000000,1,70500001.0,71000000.0,100.0,37.687799999999996,88.533,0.0,-0.03111039876696059,True
1:71000001-71500000,1,71000001.0,71500000.0,100.0,37.7052,88.1629,0.0,0.004569766798148245,True
1:71500001-72000000,1,71500001.0,72000000.0,100.0,36.8094,89.8588,0.0,-0.005474115821951342,True
1:72000001-72500000,1,72000001.0,72500000.0,100.0,35.3606,93.7218,0.0,0.013183203920135056,True
1:72500001-73000000,1,72500001.0,73000000.0,100.0,34.4518,92.7002,0.0,-0.052870191886477236,True
1:73000001-73500000,1,73000001.0,73500000.0,100.0,35.044399999999996,90.9505,0.0,-0.006981450207108997,True
1:73500001-74000000,1,73500001.0,74000000.0,100.0,34.9042,91.0977,0.0,-0.02572277584248156,True
1:74000001-74500000,1,74000001.0,74500000.0,100.0,35.7042,93.207,0.0,-0.017209328579460004,True
1:74500001-75000000,1,74500001.0,75000000.0,100.0,35.660199999999996,90.2265,0.0,0.007841471105885178,True
1:75000001-75500000,1,75000001.0,75500000.0,100.0,37.175000000000004,88.8031,0.0,0.003465071551368548,True
1:75500001-76000000,1,75500001.0,76000000.0,100.0,37.412600000000005,86.4324,0.0,0.010555430155224976,True
1:76000001-76500000,1,76000001.0,76500000.0,100.0,38.0542,83.4977,0.0268,-0.01575416314536593,False
1:76500001-77000000,1,76500001.0,77000000.0,100.0,38.9622,92.087,0.0,0.010856003860747143,True
1:77000001-77500000,1,77000001.0,77500000.0,100.0,38.6936,89.4445,0.0,0.026236938294798895,True
1:77500001-78000000,1,77500001.0,78000000.0,100.0,38.2958,91.0223,0.0,0.012303432610118792,True
1:78000001-78500000,1,78000001.0,78500000.0,100.0,38.8162,85.5159,0.0,-0.0241600017267104,True
1:78500001-79000000,1,78500001.0,79000000.0,100.0,38.4694,85.4587,0.0,0.04070919266925632,True
1:79000001-79500000,1,79000001.0,79500000.0,100.0,36.0244,90.49380000000001,0.0,0.02910165452001945,True
1:79500001-80000000,1,79500001.0,80000000.0,100.0,35.693999999999996,91.02590000000001,0.0,0.008510963121470594,True
1:80000001-80500000,1,80000001.0,80500000.0,100.0,35.5616,88.3499,0.0,-0.009793869055804094,True
1:80500001-81000000,1,80500001.0,81000000.0,100.0,35.124,89.848,0.0,0.0006632728639295871,True
1:81000001-81500000,1,81000001.0,81500000.0,100.0,35.1246,91.4497,0.0,0.008252056245900863,True
1:81500001-82000000,1,81500001.0,82000000.0,100.0,36.8816,93.4907,0.0,-0.00801269945641997,True
1:82000001-82500000,1,82000001.0,82500000.0,100.0,36.498799999999996,92.7115,0.0,-0.019853376292058356,True
1:82500001-83000000,1,82500001.0,83000000.0,100.0,37.1044,90.6895,0.043,-0.009312206053050165,False
1:83000001-83500000,1,83000001.0,83500000.0,100.0,36.098,94.2168,0.0,0.01194218111218881,True
1:83500001-84000000,1,83500001.0,84000000.0,100.0,36.709199999999996,61.675999999999995,0.0,,False
1:84000001-84500000,1,84000001.0,84500000.0,100.0,38.129999999999995,93.9028,0.0,0.011151822052450355,True
1:84500001-85000000,1,84500001.0,85000000.0,100.0,37.453599999999994,90.5057,0.0,0.00689277818142231,True
1:85000001-85500000,1,85000001.0,85500000.0,100.0,40.3988,91.0435,0.0,-0.0014322600404465535,True
1:85500001-86000000,1,85500001.0,86000000.0,100.0,39.5116,90.201,0.0,0.046186099384554535,True
1:86000001-86500000,1,86000001.0,86500000.0,100.0,37.7086,85.2433,0.0,0.026107330302529874,True
1:86500001-87000000,1,86500001.0,87000000.0,100.0,37.8056,87.70179999999999,0.0,-6.205953348675797e-05,True
1:87000001-87500000,1,87000001.0,87500000.0,100.0,38.553,82.5083,0.0,-0.0011430143550012484,True
1:87500001-88000000,1,87500001.0,88000000.0,100.0,40.388600000000004,90.412,0.0,0.013173036717932907,True
1:88000001-88500000,1,88000001.0,88500000.0,100.0,38.074799999999996,94.75019999999999,0.0,0.016569306553907315,True
1:88500001-89000000,1,88500001.0,89000000.0,100.0,37.3594,94.0871,0.0,0.043271693025449864,True
1:89000001-89500000,1,89000001.0,89500000.0,100.0,38.298,85.6052,0.0,0.007317479595365661,True
1:89500001-90000000,1,89500001.0,90000000.0,100.0,39.062400000000004,80.06259999999999,0.0,0.0281512131773044,True
1:90000001-90500000,1,90000001.0,90500000.0,100.0,40.092,90.767,0.0,0.0344701093123958,True
1:90500001-91000000,1,90500001.0,91000000.0,100.0,38.393,87.9074,0.0,0.0506012472247086,True
1:91000001-91500000,1,91000001.0,91500000.0,100.0,38.992,90.5159,0.0,-0.019309141013258424,True
1:91500001-92000000,1,91500001.0,92000000.0,100.0,39.5064,78.21050000000001,0.0724,0.01146346118503172,False
1:92000001-92500000,1,92000001.0,92500000.0,100.0,42.1956,87.3757,0.0,-0.0065187968099084115,True
1:92500001-93000000,1,92500001.0,93000000.0,100.0,39.4204,82.5547,0.015,-0.004858988517481289,False
1:93000001-93500000,1,93000001.0,93500000.0,100.0,39.3194,81.92960000000001,0.0,0.01706615594097316,True
1:93500001-94000000,1,93500001.0,94000000.0,100.0,38.4482,84.74340000000001,0.0,-0.0057693133769631255,True
1:94000001-94500000,1,94000001.0,94500000.0,100.0,43.2008,87.8968,0.0,0.018317099240540813,True
1:94500001-95000000,1,94500001.0,95000000.0,100.0,40.4182,87.4704,0.0,0.015088188328343244,True
1:95000001-95500000,1,95000001.0,95500000.0,100.0,42.5272,90.3274,0.0,-0.006056930156559948,True
1:95500001-96000000,1,95500001.0,96000000.0,100.0,39.2104,88.768,0.0,-0.018234284152614355,True
1:96000001-96500000,1,96000001.0,96500000.0,100.0,36.9776,92.9563,0.0,-0.020025252002300598,True
1:96500001-97000000,1,96500001.0,97000000.0,100.0,37.4178,86.9171,0.0,-0.007720139269791093,True
1:97000001-97500000,1,97000001.0,97500000.0,100.0,37.358000000000004,88.5486,0.0,-0.008084394941687001,True
1:97500001-98000000,1,97500001.0,98000000.0,100.0,35.916599999999995,91.2767,0.0,0.01682434336652716,True
1:98000001-98500000,1,98000001.0,98500000.0,100.0,34.3234,95.5434,0.0,0.04959633535515151,True
1:98500001-99000000,1,98500001.0,99000000.0,100.0,36.2604,93.1296,0.0,0.019583124212805503,True
1:99000001-99500000,1,99000001.0,99500000.0,100.0,36.724000000000004,89.8259,0.0,-0.015294949212275644,True
1:99500001-100000000,1,99500001.0,100000000.0,100.0,37.0984,86.51100000000001,0.0,0.024879334739118963,True
1:100000001-100500000,1,100000001.0,100500000.0,100.0,38.249,88.77239999999999,0.030600000000000002,0.00693924455405126,False
1:100500001-101000000,1,100500001.0,101000000.0,100.0,38.6066,89.251,0.0,0.011952402885124447,True
1:101000001-101500000,1,101000001.0,101500000.0,100.0,37.729600000000005,85.4259,0.0,0.06149069075068858,True
1:101500001-102000000,1,101500001.0,102000000.0,100.0,38.8618,90.349,0.0,0.04546263489259872,True
1:102000001-102500000,1,102000001.0,102500000.0,100.0,35.492000000000004,92.8716,0.0,,False
1:102500001-103000000,1,102500001.0,103000000.0,100.0,34.678599999999996,88.48660000000001,0.0,0.02745460088738172,True
1:103000001-103500000,1,103000001.0,103500000.0,100.0,34.6954,88.2725,0.049,-0.0050718021260754975,False
1:103500001-104000000,1,103500001.0,104000000.0,90.0,34.848222222222226,73.6572,0.0,,False
1:104000001-104500000,1,104000001.0,104500000.0,100.0,35.1268,70.5824,2.7978,-0.021199324133460096,False
1:104500001-105000000,1,104500001.0,105000000.0,100.0,35.1878,89.263,0.0,-0.013088092001432294,True
1:105000001-105500000,1,105000001.0,105500000.0,100.0,35.1526,85.3051,0.0,-0.016749004190831696,True
1:105500001-106000000,1,105500001.0,106000000.0,100.0,33.9752,90.6838,0.0,-0.03362761973711781,True
1:106000001-106500000,1,106000001.0,106500000.0,100.0,34.5954,89.31909999999999,0.0,-0.0422680003724748,True
1:106500001-107000000,1,106500001.0,107000000.0,100.0,34.897800000000004,90.3557,0.0,-0.011091393662366222,True
1:107000001-107500000,1,107000001.0,107500000.0,100.0,35.8956,91.4369,0.0,-0.00745973449591486,True
1:107500001-108000000,1,107500001.0,108000000.0,100.0,37.1584,94.6613,0.0,0.018521790704333685,True
1:108000001-108500000,1,108000001.0,108500000.0,100.0,38.2384,91.8339,0.1514,0.022735977623827952,False
1:108500001-109000000,1,108500001.0,109000000.0,100.0,39.711999999999996,68.9843,0.0,,False
1:109000001-109500000,1,109000001.0,109500000.0,100.0,40.3496,83.1408,0.0,-0.004288590227858213,True
1:109500001-110000000,1,109500001.0,110000000.0,100.0,45.0006,84.088,0.0226,-0.007198469775251792,False
1:110000001-110500000,1,110000001.0,110500000.0,100.0,47.2342,85.155,0.0,-0.014506505778835166,True
1:110500001-111000000,1,110500001.0,111000000.0,100.0,46.8466,93.4072,0.0448,0.019344560945154465,False
1:111000001-111500000,1,111000001.0,111500000.0,100.0,42.4064,92.53280000000001,0.0,0.00541454753917936,True
1:111500001-112000000,1,111500001.0,112000000.0,100.0,40.0724,86.0359,0.0,0.029046796318125123,True
1:112000001-112500000,1,112000001.0,112500000.0,100.0,43.4624,92.9042,0.0,0.0392248890381528,True
1:112500001-113000000,1,112500001.0,113000000.0,100.0,43.206,88.19069999999999,0.0,0.048111470146180224,True
1:113000001-113500000,1,113000001.0,113500000.0,100.0,44.0924,80.6082,0.0,-0.018279285447836302,True
1:113500001-114000000,1,113500001.0,114000000.0,100.0,41.3718,83.0926,0.0,0.00746775497496821,True
1:114000001-114500000,1,114000001.0,114500000.0,100.0,38.5592,83.9774,0.0,-0.003959906856609741,True
1:114500001-115000000,1,114500001.0,115000000.0,100.0,43.079,88.6453,0.0,0.01712758691863936,True
1:115000001-115500000,1,115000001.0,115500000.0,100.0,38.7778,86.3277,0.0,-0.02199756095039307,True
1:115500001-116000000,1,115500001.0,116000000.0,100.0,41.188399999999994,90.7957,0.0,-0.006245198714553646,True
1:116000001-116500000,1,116000001.0,116500000.0,100.0,41.9806,89.8828,0.0,-0.027828895345477278,True
1:116500001-117000000,1,116500001.0,117000000.0,100.0,41.5406,91.1374,0.0,0.015178675980566547,True
1:117000001-117500000,1,117000001.0,117500000.0,100.0,44.2456,84.2665,0.0,0.006720136071156957,True
1:117500001-118000000,1,117500001.0,118000000.0,100.0,40.994,87.4865,0.0,0.02767027360451868,True
1:118000001-118500000,1,118000001.0,118500000.0,100.0,40.558,90.5922,0.0,-0.009653814468890687,True
1:118500001-119000000,1,118500001.0,119000000.0,100.0,37.7858,89.84299999999999,0.0,0.009776636791097193,True
1:119000001-119500000,1,119000001.0,119500000.0,100.0,37.629000000000005,84.1764,0.0,0.021600047152687818,True
1:119500001-120000000,1,119500001.0,120000000.0,100.0,41.2134,86.5157,0.0,-0.01679419559823231,True
1:120000001-120500000,1,120000001.0,120500000.0,100.0,42.5506,85.31609999999999,0.0,0.005993386589938754,True
1:120500001-121000000,1,120500001.0,121000000.0,77.339,40.92294961145089,44.7277,0.0484,,False
1:121000001-121500000,1,121000001.0,121500000.0,79.7478,39.93163447769092,38.8902,27.117,,False
1:121500001-122000000,1,121500001.0,122000000.0,0.0,,0.0,0.0,,False
1:122000001-122500000,1,122000001.0,122500000.0,0.0,,0.0,0.0,,False
1:122500001-123000000,1,122500001.0,123000000.0,0.0,,0.0,0.0,,False
1:123000001-123500000,1,123000001.0,123500000.0,0.0,,0.0,0.0,,False
1:123500001-124000000,1,123500001.0,124000000.0,0.0,,0.0,0.0,,False
1:124000001-124500000,1,124000001.0,124500000.0,0.0,,0.0,0.0,,False
1:124500001-125000000,1,124500001.0,125000000.0,0.0,,0.0,0.0,,False
1:125000001-125500000,1,125000001.0,125500000.0,0.0,,0.0,0.0,,False
1:125500001-126000000,1,125500001.0,126000000.0,0.0,,0.0,0.0,,False
1:126000001-126500000,1,126000001.0,126500000.0,0.0,,0.0,0.0,,False
1:126500001-127000000,1,126500001.0,127000000.0,0.0,,0.0,0.0,,False
1:127000001-127500000,1,127000001.0,127500000.0,0.0,,0.0,0.0,,False
1:127500001-128000000,1,127500001.0,128000000.0,0.0,,0.0,0.0,,False
1:128000001-128500000,1,128000001.0,128500000.0,0.0,,0.0,0.0,,False
1:128500001-129000000,1,128500001.0,129000000.0,0.0,,0.0,0.0,,False
1:129000001-129500000,1,129000001.0,129500000.0,0.0,,0.0,0.0,,False
1:129500001-130000000,1,129500001.0,130000000.0,0.0,,0.0,0.0,,False
1:130000001-130500000,1,130000001.0,130500000.0,0.0,,0.0,0.0,,False
